;Horarios 09/05 – 10/05;;;
;RIVAL;PISTA;DIA Y HORA;CAMPO
MINI-PREBENJAMIN;Molins 99 CFS ‘A’;VISITANTE;10/05 – 11:40;Pavelló Mpal. La Sinia
PREBENJAMIN A;Santo Angel CCR ‘A’;LOCAL;10/05 – 09:00;Pabellón Redondo
BENJAMIN;Premià de Mar CFS ‘A’;LOCAL;10/05 – 10:30;Pabellón Redondo
ALEVÍN A;Pura Brasa Racing Pineda ‘A’;LOCAL;10/05 – 14:30;Pabellón Redondo
ALEVÍN B;CFS Palau Solità i Plegamans ‘B’;LOCAL;10/05 – 16:00;Pabellón Redondo
INFANTIL A;AE Ciutat Mataró ‘A’;LOCAL;09/05 – 13:30;Pabellón Redondo
INFANTIL B;FS Sant Celoni ‘B’;VISITANTE;09/05 – 20:00;Pavelló Mpal. Sot de les Granotes
CADETE FEM.;AECS Hospitalet ‘A’;VISITANTE;09/05 – 19:15;Pavelló Mpal. Sanfeliu
CADETE A;Natació Sabadell ‘A’;VISITANTE;09/05 – 17:00;Pavelló Club Natació Sabadell Les Naus
CADETE B;CEFS Manlleu ‘A’;LOCAL;10/05 – 19:00;Pabellón Redondo
JUVENIL A;Pura Brasa Racing Pineda ‘A’;VISITANTE;10/05 – 19:30;Pavelló CEM Can Xaubet
JUVENIL B;Escola Pia Sabadell CE ‘B’;LOCAL;09/05 – 12:00;Pabellón Redondo
JUVENIL C;;;;Descansa
SENIOR FEM.;Olimpyc Floresta FS ‘A’;LOCAL;09/05 – 19:30;Pabellón Redondo
SENIOR B;FS Palauenc Futsal ‘A’;LOCAL;10/05 – 17:30;Pabellón Redondo
SENIOR A;Inter Esportiu Malgrat CFS ‘A’;LOCAL;10/05 – 12:00;Pabellón Redondo
