;Horarios 07/05 – 10/05;;;
;RIVAL;PISTA;DIA Y HORA;CAMPO
MINI-PREBENJAMÍ;Molins 99 CFS ‘A’;VISITANT;10/05 – 11:40;Pavelló Mpal. La Sinia
PREBENJAMÍ A;Santo Angel CCR ‘A’;LOCAL;10/05 – 09:00;Pavelló Rodó
BENJAMÍ;La Garriga Club Futbol Sala ‘A’;VISITANT;07/05 – 18:45;Pavelló Mpal. Can Noguera
BENJAMÍ;Premià de Mar CFS ‘A’;LOCAL;10/05 – 10:30;Pavelló Rodó
ALEVÍ A;Pura Brasa Racing Pineda ‘A’;LOCAL;10/05 – 14:30;Pavelló Rodó
ALEVÍ B;CFS Palau Solità i Plegamans ‘B’;LOCAL;10/05 – 16:00;Pavelló Rodó
INFANTIL A;AE Ciutat Mataró ‘A’;LOCAL;09/05 – 13:30;Pavelló Rodó
INFANTIL B;FS Aiguafreda ‘A’;VISITANT;07/05 – 19:00;Pavelló Mpal. Can Plantada
INFANTIL B;FS Sant Celoni ‘B’;VISITANT;09/05 – 20:00;Pavelló Mpal. Sot de les Granotes
CADET FEM.;AECS Hospitalet ‘A’;VISITANT;09/05 – 19:15;Pavelló Mpal. Sanfeliu
CADET A;Natació Sabadell ‘A’;VISITANT;09/05 – 17:00;Pavelló Club Natació Sabadell Les Naus
CADET B;CEFS Manlleu ‘A’;LOCAL;10/05 – 19:00;Pabellón Redondo
JUVENIL A;Pura Brasa Racing Pineda ‘A’;VISITANT;10/05 – 19:30;Pavelló CEM Can Xaubet
JUVENIL B;Escola Pia Sabadell CE ‘B’;LOCAL;09/05 – 12:00;Pavelló Rodó
JUVENIL C;;;;Descansa
SENIOR FEM.;Olimpyc Floresta FS ‘A’;LOCAL;09/05 – 19:30;Pavelló Rodó
SENIOR B;FS Palauenc Futsal ‘A’;LOCAL;10/05 – 17:30;Pavelló Rodó
SENIOR A;Sport Sala Sta. Perpetua-Maskdeportes ‘A’;VISITANT;07/05 – 21:45;Pavelló Mpal. De Santa Perpetua de Mogoda
SENIOR A;Inter Esportiu Malgrat CFS ‘A’;LOCAL;10/05 – 12:00;Pavelló Rodó
