;Horarios 25/04 – 26/04;;;
;RIVAL;PISTA;DIA Y HORA;CAMPO
MINI-PREBENJAMÍ;Unio Futbol Sala Martorell ‘A’;LOCAL;02/05 – 14:00;Pavelló Rodó
PREBENJAMÍ A;FS Castellar ‘A’;VISITANT;03/05 – 18:30;Pavelló Mpal. Joaquim Blume
BENJAMÍ;La Garriga Club Futbol Sala ‘A’;VISITANT;07/05 – 18:45;Pavelló Mpal. Can Noguera
ALEVÍ A;Futsal Rehastet Mataró ‘A’;VISITANT;03/05 – 09:30;Pavelló Mpal. Teresa Maria Roca
ALEVÍ B;Odena CFS ‘A’;VISITANT;03/05 – 12:30;Pavelló CEM les Comes
INFANTIL A;La Garriga Club Futbol Sala ‘A’;LOCAL;02/05 – 16:00;Pavelló Rodó
INFANTIL B;FS Aiguafreda ‘A’;VISITANT;07/05 – 19:00;Pavelló Mpal. Can Plantada
CADET FEM.;AECS Hospitalet ‘A’;VISITANT;09/05 – 19:15;Pavelló Mpal. Sanfeliu
CADET A;Cerdanyola Valles FC ‘A’;LOCAL;02/05 – 16:00;Pavelló Quadrat
CADET B;Col. Santo Angelccr-Baixsud de Gavà ‘A’;VISITANT;03/05 – 12:30;Pista Coberta Col·legi Marcel·li Moragas
JUVENIL A;Futsal Masnou CE ‘A’;LOCAL;02/05 – 17:30;Pavelló Quadrat
JUVENIL B;Futsal Terrassa Les Saveurs CE ‘A’;VISITANT;03/05 – 19:30;Pavelló ZEM Can Jofresa 2 Annex
JUVENIL C;Barri Can Calet CFS ‘A’;VISITANT;03/05 – 18:30;Pavelló Mpal. II de Sant Fost de Campsentelles
SENIOR FEM.;CD La Concordia Sant Andreu AE ‘A’;LOCAL;02/05 – 17:45;Pavelló Rodó
SENIOR B;Sant Feliu de Codines CFS ‘B’;VISITANT;02/05 – 19:00;Pavelló Mpal. Lluís Vallcorba
SENIOR A;Sport Sala Sta. Perpetua-Maskdeportes ‘A’;VISITANT;07/05 – 21:45;Pavelló Mpal. De Santa Perpetua de Mogoda
